code_dga,code_internal,name,lat,lon,elevation,basin,fuente,nivel_depuracion,inicio,fin,Comentarios Javier,Ale,Javier 07/10,,,,,,,,,,
04302001,04302001,Rio Toro antes Junta Rio La Laguna,-29.97278,-70.09194,2165,Elqui,DGA,,,,,dejar desensos como cero y no como NA,Corregido,,,,,,,,,,
04302014,04302014,Juntas,-29.97667,-70.09417,2150,Elqui,DGA,,,,,,,,,,,,,,,,
04313003,04313003,Cochiguaz,-30.14250,-70.40667,1560,Elqui,DGA,,,,Preguntar a cristian por datos alexis.caro.paredes@gmail.com,,,,,,,,,,,,
,04300004,Glaciar Tapado en Los Corrales,-30.15540,-69.88275,4060,Elqui,DGA,,,,,,,,,,,,,,,,
,0430004,Tapado (TPF),-30.15830,-69.90818,4306,Elqui,CEAZAMET,,,,,,Estaci�n ruidosa. preguntar,,,,,,,,,,
04301005,04301005,Embalse La Laguna,-30.20222,-70.04139,3160,Elqui,DGA,,,,Eliminar 2020 ,sensor diff respecto a La lagunra. Cristian preguntar,Corregido,,,,,,,,,,
,0430009,La Laguna,-30.20311,-70.03722,3209,Elqui,CEAZAMET,,,,Eliminar 2020?,Sacar peak 2020,Corregido,,,,,,,,,,
04311005,04311005,La Ortiga,-30.20972,-70.49028,1560,Elqui,DGA,,,,,,,,,,,,,,,,
,04300001,Cerro Olivares,-30.25669,-69.93542,3550,Elqui,DGA,,,,,,,,,,,,,,,,
05414004,05414004,Resguardo Los Patos,-32.50139,-70.58167,1220,Aconcagua,DGA,,,,,No exite portillo?,Eliminar? esta rara,,,,,,,,,,
05415004,05415004,Jahuel,-32.68722,-70.59639,1020,Aconcagua,DGA,,,,,,,,,,,,,,,,
05404001,05404001,Canal Colorado en Bocatoma,-32.83833,-70.35528,1391,Aconcagua,DGA,,,,,,,,,,,,,,,,
05410002,05410002,Rio Aconcagua en Chacabuquito,-32.85056,-70.50944,950,Aconcagua,DGA,,,,,,,,,,,,,,,,
05410006,05410006,Vilcuya,-32.86028,-70.47167,1100,Aconcagua,DGA,,,,,,,,,,,,,,,,
05401003,05401003,Rio Juncal en Juncal,-32.87028,-70.14722,2200,Aconcagua,DGA,,,,02/2021 esta raro ,revisar 2016 y los meses m�s fr�os al parecer se tapa con nieve,Los datos se ven bien,,,,,,,,,,
05403002,05403002,Rio Aconcagua en Rio Blanco,-32.91028,-70.30722,1420,Aconcagua,DGA,,,,08/2018 est� raro,,08/2018 eliminado. revisar fin de 2016,,,,,,,,,,
05411001,05411001,Estero Pocuro en El Sifon,-32.92056,-70.54333,1000,Aconcagua,DGA,,,,,,,,,,,,,,,,
05403006,05403006,Riecillos,-32.92250,-70.35722,1290,Aconcagua,DGA,,,,,,,,,,,,,,,,
05733007,05733007,Caleu,-33.00556,-70.99361,1120,Maipo,DGA,,,,,,,,,,,,,,,,
05706004,05706004,Glaciar Juncal Sur,-33.11750,-70.11190,4035,Maipo,DGA,,,,,,,,,,,,,,,,
05706002,05706002,Glaciar Olivares Gamma,-33.15639,-70.15278,3628,Maipo,DGA,,,,,,,,,,,,,,,,
05706005,05706005,Glaciar Olivares Alfa,-33.17860,-70.21806,4230,Maipo,DGA,,,,,,,,,,,,,,,,
05706003,05706003,Valle Olivares,-33.19099,-70.11405,2787,Maipo,DGA,,,,,,,,,,,,,,,,
05721017,05721017,Estero Yerba Loca en Piedra Carvajal,-33.22194,-70.27361,3250,Maipo,DGA,,,,,,,,,,,,,,,,
05721016,05721016,Rio San Francisco antes Junta Estero Yerba Loca,-33.30861,-70.35722,1535,Maipo,DGA,,,,,,,,,,,,,,,,
,Cerro3Puntas,Cerro3Puntas,-33.32000,-70.23194,3685,Maipo,CR2,Descargar datos CR2,,,Dividir unidad por 10,,por que??,,,,,,,,,,
05722001,05722001,Estero Arrayan en La Montosa,-33.32889,-70.45944,880,Maipo,DGA,,,,,,Eliminar desde 2018?,,,,,,,,,,
05721001,05721001,Estero Yerba Loca antes Junta San Francisco,-33.34444,-70.36389,1350,Maipo,DGA,,,,,,,,,,,,,,,,
05720001,05720001,Rio Molina antes Junta San Francisco,-33.37361,-70.39639,1158,Maipo,DGA,,,,,,,,,,,,,,,,
05706001,05706001,Rio Olivares antes Junta Rio Colorado,-33.49306,-70.13750,1580,Maipo,DGA,,,,,,,,,,,,,,,,
05705001,05705001,Rio Colorado Antes Junta Rio Olivares,-33.49500,-70.13722,1550,Maipo,DGA,,,,eliminar desde 2022,,Corregido,,,,,,,,,,
